"Part dimension x","Part dimension y","Part dimension z","New material name (output)","Type (input)","Type","Ultimate tensile strength(Mpa)","Elongation(%)","Max dimentions X (mm)","Max dimentions Y (mm)","Max dimentions Z (mm)","Key features (input)","Application"
"77.47494700579128","76.85092796357414","48.44503925989309","EOS 316L","Stainless Steel","Metal","590.0","47.0","400.0","400.0","400.0","corrosion resistance, toughness, ductility, high resistance to acids","aerospace, automotive, energy, jewelry, medical, ship building and many more."
"33.7741826619256","137.93956035516564","46.77723281975537","EOS In718","Nickel Alloy","Metal","1020.0","29.0","400.0","400.0","400.0","good tensile, fatigue, creep strength, rupture strength, high temperature performance","gas turbine parts, instrumentation parts, power and process industry parts"
"31.252300157839997","169.02818171445531","151.57847167567058","Ti6Al4V ELI (Grade 23)","Titanium Alloy","Metal","1280.0","8.0","500.0","280.0","850.0","high purity version of Ti6Al4V (Grade 5), the most widely used titanium-based alloy in the
world. Ti6Al4V ELI (Grade 23) stands out because of its thermal expansion coeffi cient, biocompatibility, high strength at
low density and excellent corrosion resistance. Good corrosion resistance
 High specifi c strength
 High cycle fatigue strength
 High toughness","Orthopedic implants
 Aerospace
 Automotive
 Energy applications"
"141.60206377379282","124.37754572950388","163.83234421997082","EOS Ti64 Grade 5","Titanium Alloy","Metal","1080.0","14.0","250.0","250.0","270.0","excellent mechanical properties, corrosion resistance, low specific weight, biocompatibility. ",""
"46.513365205392354","178.75952213146485","0.17129371078281608","EOS AlSi10Mg","Aluminum Alloy","Metal","460.0","5.0","400.0","400.0","400.0","good strength, hardness, good dynamic properties, good thermal properties, low weight",""
"15.030128351695549","187.91960380298747","182.84545586779694","PC-ABS","PC Thermoplastic polymer","Plastic","41.0","6.0","914.0","610.0","914.0","strength, heat resistance, flexibility, high impact strength, thermal
resistance","demanding engineering environments, snap-fits, end-use components, jigs and fixtures, concept modeling, and
testing for form, fit and function."
"83.36378395116346","157.24434261363578","63.00729813708414","PA 2241 FR","PA Thermoplastic polymer","Plastic","49.0","15.0","700.0","380.0","580.0","flame retardant, very cost-efficient, elastic, good tensile strength",""
"49.97294488997384","127.53544829860486","61.67926977237666","Xtreme","Resin","Plastic","38.0","14.0","500.0","500.0","568.0","high impact strength, high elongation at break, excellent surface quality","is ideal for tough enclosures, snap-fit assemblies and replacing CNC machined parts. Owing to its surface quality, this material is also suitable for finished models with a high level of detail."
"141.73416376328046","155.27351325375784","71.22481327439249","EOS CopperAlloy CuCrZr","Copper Alloy","Metal","300.0","30.0","400.0","400.0","400.0","good electrical conductivity, good thermal conductivity, good mechanical properties",""
"76.90252599974565","92.88228346446638","14.897317819268618","EOS AlF357","Aluminum Alloy","Metal","330.0","11.0","400.0","400.0","400.0","low weight, corrosion resistance, high dynamic load bearing capacity",""
"101.59872092103303","1.4005042300033743","101.30638031809794","FR-106","Polyamide","Plastic","46.0","38.0","340.0","340.0","600.0","white, flame-retardant, high ductility, excellent strength",""
"96.12816361051819","79.17998582518861","164.35394330298493","Taurus","Resin","Plastic","46.0","17.0","500.0","500.0","568.0","black material, strong mechanical properties,  high elongation at break, thermal resistance, high surface detailing and precision","ideal choice for the aerospace and automotive industries. Suitable applications include functional prototypes and form-, fit- and function-testing. For an SLA material, Taurus is remarkable for its thermoplastic-like appearance and performance. If you need the look and feel of an injection-molded part with fast lead times, Taurus is what you’re looking for."
"100.66920742675305","127.79468970997752","109.43583764286369","AlSi10Mg","Aluminum Alloy","Metal","250.0","1.0","500.0","280.0","315.0","good strength, thermal properties, low weight, flexible post-processing possibilities"," often used material in automotive, aerospace and automation. Applications include housings, ductwork, engine parts, production tools and molds, both for prototyping and manufacturing purposes."
